short_code,standard_code,stock_name,security_group_code,stock_base_price,regular_market_unit,after_hours_market_unit,trading_halt_yn,liquidation_yn,management_stock_yn,market_warning_code,market_warning_risk_yn,dishonest_disclosure_yn,bypass_listing_yn,lock_division_code,par_value_change_code,capital_increase_code,margin_rate,credit_order_yn,credit_period,prev_day_volume,stock_par_value,stock_listing_date,listed_shares_thousand,capital,settlement_month,public_offering_price,preferred_stock_code,short_sale_overheat_yn,unusual_rise_yn,krx300_stock_yn,sales,operating_profit,ordinary_profit,net_income,roe,base_year_month,prev_day_market_cap_billion,company_credit_limit_exceed_yn,collateral_loan_yn,securities_lending_yn
136660,KR7136660008,큐엠씨,ST,000001900,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000028,000000000500,20140701,000000000002360,000000000001180475000,12,,0,,N,,000000072,-00000020,-00000034,-0034,-00000079,20241231,000000044,N,N,N
140610,KR7140610007,엔솔바이오사이언스,ST,000015150,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000019079,000000000500,20180910,000000000013421,000000000006710683500,12,,0,,N,,000000014,-00000051,-00000177,-0177,-36100000,20241231,000002033,N,N,N
140660,KR7140660002,위월드,ST,000001450,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000152,000000000500,20131226,000000000002487,000000000001243626000,12,,0,,N,,000000042,000000001,000000003,00004,000000005,20241231,000000036,N,N,N
149010,KR7149010001,아이케이세미콘,ST,000004095,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000005,000000000500,20141114,000000000003120,000000000001560000000,12,,0,,N,,000000179,000000020,000000024,00021,000000000,20241231,000000127,N,N,N
149300,KR7149300006,아퓨어스,ST,000000039,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000132512,000000000500,20190903,000000000045486,000000000022743126000,12,,0,,N,,000000006,-00000024,-00000031,-0031,-00000060,20241231,000000017,N,N,N
162120,KR7162120000,루켄테크놀러지스,ST,000002520,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000008315,000000000500,20170725,000000000011156,000000000005578301000,12,,0,,N,,000000210,-00000034,-00000027,-0033,000000000,20241231,000000281,N,N,N
169670,KR7169670007,코스텍시스템,ST,000005950,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000033,000000000500,20220121,000000000002868,000000000001763050000,12,,0,,N,,000000239,000000001,000000001,00005,000000004,20241231,000000170,N,N,N
176590,KR7176590008,코나솔,ST,000003420,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000165,000000000500,20220615,000000000005836,000000000002918191500,12,,0,,N,,000000189,-00000033,-00000042,-0033,-00000022,20241231,000000199,N,N,N
178600,KR7178600003,대동고려삼,ST,000002115,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000631,000000000500,20131220,000000000004449,000000000002224800000,06,,0,,N,,000000457,000000012,-00000003,-0014,-00000005,20250630,000000094,N,N,N
179720,KR7179720008,머니무브,ST,000012000,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000293,000000000500,20130701,000000000002455,000000000001227902000,12,,0,,N,,000000002,-00000033,-00000034,-0034,-00000463,20241231,000000294,N,N,N
180060,KR7180060006,탑선,ST,000007080,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000001098,000000000500,20171027,000000000009347,000000000004673833000,12,,0,,N,,000001100,000000050,000000094,00073,000000000,20241231,000000661,N,N,N
